classifier,top_k,estimated_model_units,max_depth,train_samples,test_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1
extra_trees_10,180,10,8,344,73,0.5342465753424658,0.6190476190476191,0.5134920634920634,0.5369227008571271,0.5346091889994876,0.5454545454545455,0.5573770491803278,0.507936507936508
gradient_boosting_10,100,10,2,344,73,0.5753424657534246,0.6404761904761905,0.5285714285714286,0.5329276538201486,0.5571146739281446,0.4,0.6470588235294117,0.5517241379310344
random_forest_10,100,10,8,344,73,0.5753424657534246,0.5743145743145743,0.5261904761904762,0.529920595494366,0.5615398150767565,0.36363636363636365,0.6229508196721312,0.6031746031746033
extra_trees_3,180,3,8,344,73,0.5205479452054794,0.5380907561107784,0.5222222222222221,0.5290822685128121,0.5214180747174472,0.5714285714285715,0.49122807017543857,0.5245901639344263
random_forest_10,126,10,8,344,73,0.5616438356164384,0.5462962962962963,0.523015873015873,0.5272727272727273,0.5529265255292652,0.4,0.5454545454545454,0.6363636363636365
sklearn_tree_depth6,70,1,6,344,73,0.547945205479452,0.5670634920634919,0.515079365079365,0.5237635150678628,0.5398716167030639,0.43478260869565216,0.603174603174603,0.5333333333333333
random_forest_20,100,20,8,344,73,0.589041095890411,0.5645833333333333,0.5277777777777778,0.5217613927291347,0.5662942154325274,0.28571428571428575,0.6666666666666665,0.6129032258064516
extra_trees_20,70,20,8,344,73,0.5616438356164384,0.5642135642135643,0.5142857142857143,0.5189916337457322,0.5489640234755889,0.36363636363636365,0.5901639344262296,0.6031746031746033
custom_tree_depth8,70,1,8,344,73,0.5205479452054794,0.523931623931624,0.5134920634920634,0.517624521072797,0.5193670288143599,0.5,0.5862068965517241,0.4666666666666667
custom_tree_depth10,70,1,10,344,73,0.5205479452054794,0.523931623931624,0.5134920634920634,0.517624521072797,0.5193670288143599,0.5,0.5862068965517241,0.4666666666666667
custom_tree_depth12,70,1,12,344,73,0.5205479452054794,0.523931623931624,0.5134920634920634,0.517624521072797,0.5193670288143599,0.5,0.5862068965517241,0.4666666666666667
extra_trees_20,150,20,8,344,73,0.5753424657534246,0.5823529411764706,0.5158730158730159,0.5129704301075269,0.5531098099867432,0.3,0.6451612903225806,0.59375
