seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean
13,seed13_quad5_scenario2,quad5,state_machine_confirm_3,60,0.85,0.8385339643103619,0.8497190180419996,0.9166666666666666,0.816326530612245,0.7826086956521738,4,4,0,0,4,4,1.0,2.25
13,seed13_quad5_scenario2,quad5,vote5_state_machine_confirm_2,60,0.8,0.7916666666666666,0.8,0.875,0.75,0.75,4,4,0,0,4,4,1.0,3.0
13,seed13_quad5_scenario2,quad5,vote5_state_machine_confirm_3,60,0.7333333333333333,0.7222222222222222,0.7333333333333333,0.8333333333333334,0.6666666666666666,0.6666666666666666,4,4,0,0,4,4,1.0,4.0
13,seed13_quad5_scenario3,quad5,raw_prediction,60,0.9666666666666667,0.9563636363636364,0.9658181818181819,0.9600000000000001,1.0,0.9090909090909091,4,8,4,0,4,4,1.0,0.0
13,seed13_quad5_scenario3,quad5,majority_vote_3,60,0.95,0.9512101942226167,0.950147885241053,0.9583333333333334,0.9387755102040817,0.9565217391304348,4,4,0,0,4,4,1.0,0.75
13,seed13_quad5_scenario3,quad5,majority_vote_5,60,0.8833333333333333,0.8811249137336093,0.8834368530020704,0.9166666666666666,0.8571428571428572,0.8695652173913043,4,4,0,0,4,4,1.0,1.75
13,seed13_quad5_scenario3,quad5,majority_vote_7,60,0.8166666666666667,0.8110396332446022,0.8167258207630879,0.875,0.7755102040816326,0.7826086956521738,4,4,0,0,4,4,1.0,2.75
13,seed13_quad5_scenario3,quad5,state_machine_confirm_2,60,0.9333333333333333,0.9305555555555555,0.9333333333333333,0.9583333333333334,0.9166666666666666,0.9166666666666666,4,4,0,0,4,4,1.0,1.0
13,seed13_quad5_scenario3,quad5,state_machine_confirm_3,60,0.8166666666666667,0.7892156862745098,0.8137254901960785,0.9166666666666666,0.7843137254901961,0.6666666666666666,4,4,0,0,4,4,1.0,2.75
13,seed13_quad5_scenario3,quad5,vote5_state_machine_confirm_2,60,0.8166666666666667,0.8110396332446022,0.8167258207630879,0.875,0.7755102040816326,0.7826086956521738,4,4,0,0,4,4,1.0,2.75
13,seed13_quad5_scenario3,quad5,vote5_state_machine_confirm_3,60,0.75,0.740954352755595,0.7500147885241053,0.8333333333333334,0.6938775510204083,0.6956521739130435,4,4,0,0,4,4,1.0,3.75
21,seed21_quad1_scenario1,quad1,raw_prediction,60,0.4166666666666667,0.42802994107341935,0.44407071189679886,0.6285714285714286,0.3076923076923077,0.3478260869565218,4,30,26,0,4,4,1.0,1.75
21,seed21_quad1_scenario1,quad1,majority_vote_3,60,0.5,0.4997368421052631,0.5116842105263157,0.6842105263157894,0.375,0.43999999999999995,4,20,16,0,4,4,1.0,2.25
21,seed21_quad1_scenario1,quad1,majority_vote_5,60,0.36666666666666664,0.33153153153153153,0.31783783783783787,0.5945945945945945,0.0,0.4,4,11,7,0,4,2,0.5,7.0
21,seed21_quad1_scenario1,quad1,majority_vote_7,60,0.38333333333333336,0.3385490753911806,0.32204836415362725,0.5945945945945945,0.0,0.4210526315789474,4,10,6,0,4,2,0.5,7.25
21,seed21_quad1_scenario1,quad1,state_machine_confirm_2,60,0.48333333333333334,0.48518518518518516,0.49333333333333335,0.611111111111111,0.4,0.4444444444444445,4,12,8,0,4,4,1.0,3.25
21,seed21_quad1_scenario1,quad1,state_machine_confirm_3,60,0.21666666666666667,0.1406333870101986,0.09919484702093398,0.07407407407407407,0.0,0.34782608695652173,4,2,0,2,4,1,0.25,9.0
21,seed21_quad1_scenario1,quad1,vote5_state_machine_confirm_2,60,0.38333333333333336,0.3384370015948963,0.3188516746411484,0.5789473684210527,0.0,0.43636363636363634,4,7,3,0,4,2,0.5,7.25
