seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,true_class,predicted_class,count
42,100,25,240,60,4023,1016,100,70,extra_trees_100_top70,extra_trees,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,static_presence,8
42,100,25,240,60,4023,1016,100,70,extra_trees_100_top70,extra_trees,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,movement,328
42,100,25,240,60,4023,1016,100,100,extra_trees_100_top100,extra_trees,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,empty,312
42,100,25,240,60,4023,1016,100,100,extra_trees_100_top100,extra_trees,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,static_presence,27
42,100,25,240,60,4023,1016,100,100,extra_trees_100_top100,extra_trees,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,movement,0
42,100,25,240,60,4023,1016,100,100,extra_trees_100_top100,extra_trees,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,empty,77
42,100,25,240,60,4023,1016,100,100,extra_trees_100_top100,extra_trees,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,static_presence,244
42,100,25,240,60,4023,1016,100,100,extra_trees_100_top100,extra_trees,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,movement,18
42,100,25,240,60,4023,1016,100,100,extra_trees_100_top100,extra_trees,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,empty,4
42,100,25,240,60,4023,1016,100,100,extra_trees_100_top100,extra_trees,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,static_presence,6
42,100,25,240,60,4023,1016,100,100,extra_trees_100_top100,extra_trees,100,100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,movement,328
42,100,25,240,60,4023,1016,100,126,extra_trees_100_top126,extra_trees,126,126,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,empty,316
42,100,25,240,60,4023,1016,100,126,extra_trees_100_top126,extra_trees,126,126,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,static_presence,22
42,100,25,240,60,4023,1016,100,126,extra_trees_100_top126,extra_trees,126,126,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,movement,1
42,100,25,240,60,4023,1016,100,126,extra_trees_100_top126,extra_trees,126,126,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,empty,72
42,100,25,240,60,4023,1016,100,126,extra_trees_100_top126,extra_trees,126,126,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,static_presence,249
42,100,25,240,60,4023,1016,100,126,extra_trees_100_top126,extra_trees,126,126,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,movement,18
42,100,25,240,60,4023,1016,100,126,extra_trees_100_top126,extra_trees,126,126,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,empty,3
42,100,25,240,60,4023,1016,100,126,extra_trees_100_top126,extra_trees,126,126,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,static_presence,5
42,100,25,240,60,4023,1016,100,126,extra_trees_100_top126,extra_trees,126,126,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,movement,330
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,empty,317
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,static_presence,22
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,movement,0
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,empty,67
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,static_presence,257
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,movement,15
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,empty,3
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,static_presence,4
42,100,25,240,60,4023,1016,100,160,extra_trees_100_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,movement,331
42,100,25,240,60,4023,1016,100,1100,extra_trees_100_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,empty,322
42,100,25,240,60,4023,1016,100,1100,extra_trees_100_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,static_presence,17
42,100,25,240,60,4023,1016,100,1100,extra_trees_100_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,movement,0
42,100,25,240,60,4023,1016,100,1100,extra_trees_100_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,empty,60
42,100,25,240,60,4023,1016,100,1100,extra_trees_100_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,static_presence,269
42,100,25,240,60,4023,1016,100,1100,extra_trees_100_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,movement,10
42,100,25,240,60,4023,1016,100,1100,extra_trees_100_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,empty,4
42,100,25,240,60,4023,1016,100,1100,extra_trees_100_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,static_presence,7
42,100,25,240,60,4023,1016,100,1100,extra_trees_100_topall,extra_trees,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,movement,327
42,100,25,240,60,4023,1016,100,70,gradient_boosting_default_top70,gradient_boosting,70,70,{},empty,empty,287
42,100,25,240,60,4023,1016,100,70,gradient_boosting_default_top70,gradient_boosting,70,70,{},empty,static_presence,52
42,100,25,240,60,4023,1016,100,70,gradient_boosting_default_top70,gradient_boosting,70,70,{},empty,movement,0
42,100,25,240,60,4023,1016,100,70,gradient_boosting_default_top70,gradient_boosting,70,70,{},static_presence,empty,136
42,100,25,240,60,4023,1016,100,70,gradient_boosting_default_top70,gradient_boosting,70,70,{},static_presence,static_presence,174
42,100,25,240,60,4023,1016,100,70,gradient_boosting_default_top70,gradient_boosting,70,70,{},static_presence,movement,29
42,100,25,240,60,4023,1016,100,70,gradient_boosting_default_top70,gradient_boosting,70,70,{},movement,empty,3
42,100,25,240,60,4023,1016,100,70,gradient_boosting_default_top70,gradient_boosting,70,70,{},movement,static_presence,16
42,100,25,240,60,4023,1016,100,70,gradient_boosting_default_top70,gradient_boosting,70,70,{},movement,movement,319
42,100,25,240,60,4023,1016,100,100,gradient_boosting_default_top100,gradient_boosting,100,100,{},empty,empty,306
42,100,25,240,60,4023,1016,100,100,gradient_boosting_default_top100,gradient_boosting,100,100,{},empty,static_presence,33
42,100,25,240,60,4023,1016,100,100,gradient_boosting_default_top100,gradient_boosting,100,100,{},empty,movement,0
42,100,25,240,60,4023,1016,100,100,gradient_boosting_default_top100,gradient_boosting,100,100,{},static_presence,empty,64
42,100,25,240,60,4023,1016,100,100,gradient_boosting_default_top100,gradient_boosting,100,100,{},static_presence,static_presence,261
42,100,25,240,60,4023,1016,100,100,gradient_boosting_default_top100,gradient_boosting,100,100,{},static_presence,movement,14
42,100,25,240,60,4023,1016,100,100,gradient_boosting_default_top100,gradient_boosting,100,100,{},movement,empty,3
42,100,25,240,60,4023,1016,100,100,gradient_boosting_default_top100,gradient_boosting,100,100,{},movement,static_presence,11
42,100,25,240,60,4023,1016,100,100,gradient_boosting_default_top100,gradient_boosting,100,100,{},movement,movement,324
42,100,25,240,60,4023,1016,100,126,gradient_boosting_default_top126,gradient_boosting,126,126,{},empty,empty,308
42,100,25,240,60,4023,1016,100,126,gradient_boosting_default_top126,gradient_boosting,126,126,{},empty,static_presence,31
42,100,25,240,60,4023,1016,100,126,gradient_boosting_default_top126,gradient_boosting,126,126,{},empty,movement,0
42,100,25,240,60,4023,1016,100,126,gradient_boosting_default_top126,gradient_boosting,126,126,{},static_presence,empty,63
42,100,25,240,60,4023,1016,100,126,gradient_boosting_default_top126,gradient_boosting,126,126,{},static_presence,static_presence,263
42,100,25,240,60,4023,1016,100,126,gradient_boosting_default_top126,gradient_boosting,126,126,{},static_presence,movement,13
42,100,25,240,60,4023,1016,100,126,gradient_boosting_default_top126,gradient_boosting,126,126,{},movement,empty,3
42,100,25,240,60,4023,1016,100,126,gradient_boosting_default_top126,gradient_boosting,126,126,{},movement,static_presence,9
42,100,25,240,60,4023,1016,100,126,gradient_boosting_default_top126,gradient_boosting,126,126,{},movement,movement,326
42,100,25,240,60,4023,1016,100,160,gradient_boosting_default_top160,gradient_boosting,160,160,{},empty,empty,308
42,100,25,240,60,4023,1016,100,160,gradient_boosting_default_top160,gradient_boosting,160,160,{},empty,static_presence,31
42,100,25,240,60,4023,1016,100,160,gradient_boosting_default_top160,gradient_boosting,160,160,{},empty,movement,0
42,100,25,240,60,4023,1016,100,160,gradient_boosting_default_top160,gradient_boosting,160,160,{},static_presence,empty,59
42,100,25,240,60,4023,1016,100,160,gradient_boosting_default_top160,gradient_boosting,160,160,{},static_presence,static_presence,268
42,100,25,240,60,4023,1016,100,160,gradient_boosting_default_top160,gradient_boosting,160,160,{},static_presence,movement,12
42,100,25,240,60,4023,1016,100,160,gradient_boosting_default_top160,gradient_boosting,160,160,{},movement,empty,3
42,100,25,240,60,4023,1016,100,160,gradient_boosting_default_top160,gradient_boosting,160,160,{},movement,static_presence,9
42,100,25,240,60,4023,1016,100,160,gradient_boosting_default_top160,gradient_boosting,160,160,{},movement,movement,326
42,100,25,240,60,4023,1016,100,1100,gradient_boosting_default_topall,gradient_boosting,all,1100,{},empty,empty,314
42,100,25,240,60,4023,1016,100,1100,gradient_boosting_default_topall,gradient_boosting,all,1100,{},empty,static_presence,25
42,100,25,240,60,4023,1016,100,1100,gradient_boosting_default_topall,gradient_boosting,all,1100,{},empty,movement,0
42,100,25,240,60,4023,1016,100,1100,gradient_boosting_default_topall,gradient_boosting,all,1100,{},static_presence,empty,65
42,100,25,240,60,4023,1016,100,1100,gradient_boosting_default_topall,gradient_boosting,all,1100,{},static_presence,static_presence,263
