family,top_k,feature_index,selected_runs,mean_rank,mean_fisher_score,selection_rate
gradient_boosting,126,845,1,122.0,0.16373003488925694,0.1
gradient_boosting,126,848,10,31.9,0.31821845717892405,1.0
gradient_boosting,126,849,3,120.66666666666667,0.17902447365588955,0.3
gradient_boosting,126,850,6,96.83333333333333,0.1927401445431144,0.6
gradient_boosting,126,851,10,26.5,0.32821863454985634,1.0
gradient_boosting,126,853,2,116.5,0.17040058677598013,0.2
gradient_boosting,126,859,10,34.0,0.3231331698351527,1.0
gradient_boosting,126,860,2,119.5,0.180518811225363,0.2
gradient_boosting,126,861,8,85.75,0.2182805608963178,0.8
gradient_boosting,126,862,10,27.7,0.3353918606486349,1.0
gradient_boosting,126,864,8,98.625,0.21004031986962404,0.8
gradient_boosting,126,865,2,92.0,0.2417897840655479,0.2
gradient_boosting,126,867,2,110.5,0.22134586849005794,0.2
gradient_boosting,126,870,10,51.7,0.27926043745470996,1.0
gradient_boosting,126,871,1,121.0,0.18019634543453647,0.1
gradient_boosting,126,872,7,90.57142857142857,0.21086855453136605,0.7
gradient_boosting,126,873,10,40.8,0.29813777032949595,1.0
gradient_boosting,126,875,3,113.33333333333333,0.2020344840252052,0.3
gradient_boosting,126,881,7,67.0,0.2628888552910221,0.7
gradient_boosting,126,883,5,110.4,0.18047292489825995,0.5
gradient_boosting,126,884,10,65.4,0.2532572243501988,1.0
gradient_boosting,126,892,8,85.0,0.2387860159305272,0.8
gradient_boosting,126,894,4,95.75,0.19204711944074981,0.4
gradient_boosting,126,895,10,72.9,0.24417579854439003,1.0
gradient_boosting,126,897,1,118.0,0.16831357027342875,0.1
gradient_boosting,126,903,7,87.85714285714286,0.23121950473518135,0.7
gradient_boosting,126,905,4,91.0,0.19733277949818417,0.4
gradient_boosting,126,906,9,78.11111111111111,0.23629892334007582,0.9
gradient_boosting,126,914,4,82.5,0.24912365380119292,0.4
gradient_boosting,126,916,3,101.66666666666667,0.19419477516608405,0.3
gradient_boosting,126,917,8,89.0,0.22360840090470352,0.8
gradient_boosting,126,925,2,91.5,0.26465953135668646,0.2
gradient_boosting,126,927,1,108.0,0.17385885562699221,0.1
gradient_boosting,126,928,5,97.0,0.22194706799269648,0.5
