source_file,file_name,session,quadrant,label,evaluation_count,mean_window_count,accuracy_mean,accuracy_std,mean_confidence
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad2\movement\movement_session_02_quad2_p017_20260719_012832.bin,movement_session_02_quad2_p017_20260719_012832.bin,session_02,quad2,movement,4,17.0,0.7794117647058822,0.02941176470588238,0.7919117647058823
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad4\empty\empty_session_02_quad4_p010_20260719_010724.bin,empty_session_02_quad4_p010_20260719_010724.bin,session_02,quad4,empty,2,17.0,0.7941176470588235,0.04159451654038516,0.6270588235294118
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad5\static_presence\static_presence_session_02_quad5_p006_20260719_011300.bin,static_presence_session_02_quad5_p006_20260719_011300.bin,session_02,quad5,static_presence,2,17.0,0.7941176470588236,0.12478354962115544,0.6005882352941176
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad4\static_presence\static_presence_session_02_quad4_p007_20260719_005812.bin,static_presence_session_02_quad4_p007_20260719_005812.bin,session_02,quad4,static_presence,1,16.0,0.8125,0.0,0.61375
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\movement\movement_session_01_quad4_p030_20260718_173848.bin,movement_session_01_quad4_p030_20260718_173848.bin,session_01,quad4,movement,1,17.0,0.8235294117647058,0.0,0.6570588235294118
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad5\static_presence\static_presence_session_02_quad5_p020_20260719_011813.bin,static_presence_session_02_quad5_p020_20260719_011813.bin,session_02,quad5,static_presence,1,17.0,0.8235294117647058,0.0,0.6558823529411765
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad1\empty\empty_session_02_quad1_p023_20260719_005132.bin,empty_session_02_quad1_p023_20260719_005132.bin,session_02,quad1,empty,3,17.0,0.8431372549019608,0.1358471221622649,0.680392156862745
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad2\movement\movement_session_02_quad2_p022_20260719_013023.bin,movement_session_02_quad2_p022_20260719_013023.bin,session_02,quad2,movement,2,17.0,0.8529411764705882,0.04159451654038516,0.8120588235294117
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad4\movement\movement_session_02_quad4_p008_20260719_005834.bin,movement_session_02_quad4_p008_20260719_005834.bin,session_02,quad4,movement,2,17.0,0.8529411764705882,0.04159451654038516,0.7797058823529412
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad3\static_presence\static_presence_session_01_quad3_p029_20260718_170131.bin,static_presence_session_01_quad3_p029_20260718_170131.bin,session_01,quad3,static_presence,1,17.0,0.8823529411764706,0.0,0.6570588235294118
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad2\static_presence\static_presence_session_02_quad2_p007_20260719_012449.bin,static_presence_session_02_quad2_p007_20260719_012449.bin,session_02,quad2,static_presence,1,17.0,0.8823529411764706,0.0,0.6805882352941177
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad4\movement\movement_session_02_quad4_p012_20260719_010808.bin,movement_session_02_quad4_p012_20260719_010808.bin,session_02,quad4,movement,1,17.0,0.8823529411764706,0.0,0.8664705882352941
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad5\movement\movement_session_02_quad5_p026_20260719_012027.bin,movement_session_02_quad5_p026_20260719_012027.bin,session_02,quad5,movement,1,17.0,0.8823529411764706,0.0,0.8947058823529411
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad5\static_presence\static_presence_session_02_quad5_p029_20260719_012134.bin,static_presence_session_02_quad5_p029_20260719_012134.bin,session_02,quad5,static_presence,1,17.0,0.8823529411764706,0.0,0.75
