seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_f1,static_presence_f1,movement_f1,fit_time_ms,prediction_time_ms,prediction_time_us_per_window,test_samples,actual_tree_count,actual_node_count,actual_max_depth,used_feature_count,mean_comparisons_per_prediction
84,100,25,240,60,4025,1014,105,1155,logistic_regression_c1_balanced_all,logistic_regression,all,1155,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",0.8175542406311637,0.8194167291138671,0.8193158238042502,0.9172925712720076,0.9172588261401511,0.838882179810204,0.8385329918947233,0.7853107344632768,0.7391952309985097,0.9337442218798151,1794.454200000473,7.66730000032112,7.561439842525759,1014,0,0,0,1155,3465.0
84,100,25,240,60,4025,1014,105,1155,xgboost_depth2_10_all,xgboost,all,1155,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8313609467455622,0.8239792365378404,0.8240228177238804,0.9326771240999281,0.9327093257068421,0.870113891938308,0.8700291086634612,0.8387096774193549,0.7190226876090751,0.9142053445850914,2377.231499998743,18.933799998194445,18.672386585990576,1014,30,210,2,40,60.0
84,100,25,240,60,4025,1014,105,1155,xgboost_depth2_20_all,xgboost,all,1155,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8313609467455622,0.8246833456611915,0.824720219498162,0.9379967180890301,0.9380220185184182,0.8771504645184248,0.8770291007632247,0.8371467025572006,0.7231833910034602,0.9137199434229137,3528.1806999992114,19.48150000316673,19.212524657955356,1014,60,420,2,65,120.0
84,100,25,240,60,4025,1014,105,1155,xgboost_depth3_20_all,xgboost,all,1155,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8520710059171598,0.848009211294244,0.8480147046091802,0.9411858491341958,0.9412052517532336,0.8872805905872186,0.8871618643885459,0.8498659517426274,0.7596638655462185,0.9344978165938864,5209.301399998367,24.68359999693348,24.342800785930454,1014,60,892,3,137,179.49579831932772
126,100,25,240,60,4028,1011,99,1089,gradient_boosting_depth3_20_all,gradient_boosting,all,1089,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8338278931750742,0.828811882048845,0.828811882048845,0.9391838148320991,0.9391838148320991,0.9031483044838223,0.9031483044838223,0.8751753155680224,0.7305785123966942,0.8806818181818182,84488.20609999893,12.527000002592104,12.390702277539173,1011,60,900,3,182,180.0
126,100,25,240,60,4028,1011,99,1089,logistic_regression_c0_1_all,logistic_regression,all,1089,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",0.7962413452027696,0.7936772947975461,0.7936772947975461,0.9085240397174111,0.9085240397174111,0.8338758052378165,0.8338758052378166,0.7751060820367751,0.687797147385103,0.9181286549707602,1093.292699999438,8.1754999991972,8.086547971510583,1011,0,0,0,1089,3267.0
126,100,25,240,60,4028,1011,99,1089,logistic_regression_c1_all,logistic_regression,all,1089,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",0.7794263105835806,0.7778044702471648,0.7778044702471649,0.9019788263816123,0.9019788263816125,0.8199754349804369,0.8199754349804369,0.7546628407460545,0.6728682170542636,0.9058823529411765,1646.5623000003689,7.365299999946728,7.285163204695082,1011,0,0,0,1089,3267.0
126,100,25,240,60,4028,1011,99,1089,logistic_regression_c10_all,logistic_regression,all,1089,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",0.7586547972304649,0.7581458177996957,0.7581458177996957,0.8926812481105467,0.8926812481105466,0.8028579853289722,0.8028579853289723,0.7314285714285714,0.656441717791411,0.8865671641791045,1201.4199000004737,7.54400000005262,7.4619188922380015,1011,0,0,0,1089,3267.0
126,100,25,240,60,4028,1011,99,1089,logistic_regression_c1_balanced_all,logistic_regression,all,1089,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",0.7843719090009891,0.7823674410932782,0.782367441093278,0.9020301901633955,0.9020301901633956,0.8197847510887301,0.8197847510887301,0.7604017216642754,0.67601246105919,0.9106881405563689,1673.2386000003316,7.324300000618678,7.244609298336971,1011,0,0,0,1089,3267.0
126,100,25,240,60,4028,1011,99,1089,xgboost_depth2_10_all,xgboost,all,1089,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.7774480712166172,0.7625619474362,0.7625619474362,0.9144000563534064,0.9144000563534063,0.8641889901152263,0.8641889901152263,0.8372703412073491,0.603290676416819,0.847124824684432,2382.9788000002736,18.282799999724375,18.083877348886624,1011,30,210,2,40,60.0
126,100,25,240,60,4028,1011,99,1089,xgboost_depth2_20_all,xgboost,all,1089,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.7794263105835806,0.7660996250124917,0.7660996250124917,0.9169388947101176,0.9169388947101175,0.8711195518232437,0.8711195518232437,0.830238726790451,0.6137184115523465,0.8543417366946778,3609.5731999994314,18.919000001915265,18.713155293684732,1011,60,420,2,62,120.0
126,100,25,240,60,4028,1011,99,1089,xgboost_depth3_20_all,xgboost,all,1089,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.811078140454995,0.8038441864432818,0.8038441864432818,0.9371277960241499,0.9371277960241499,0.8995596828453168,0.899559682845317,0.8606896551724138,0.6904761904761905,0.8603667136812412,5147.54929999981,18.415200000163168,18.214836795413618,1011,60,896,3,139,179.74895397489541
168,100,25,240,60,4033,1006,99,1089,gradient_boosting_depth3_20_all,gradient_boosting,all,1089,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8339960238568589,0.8326614014269723,0.8330183253575995,0.9430281849044672,0.9432053645460036,0.8801659161163936,0.8801829712377013,0.8248587570621468,0.7389937106918238,0.9341317365269461,84326.24380000198,11.881500002346002,11.810636185234594,1006,60,898,3,174,179.996
168,100,25,240,60,4033,1006,99,1089,logistic_regression_c0_1_all,logistic_regression,all,1089,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",0.8011928429423459,0.801281113767653,0.8016728541930774,0.9190354959849838,0.91920423859006,0.8399932975744723,0.8401436785756656,0.779891304347826,0.692063492063492,0.9318885448916409,1197.1999000015785,7.805200002621859,7.7586481139382295,1006,0,0,0,1089,3267.0
168,100,25,240,60,4033,1006,99,1089,logistic_regression_c1_all,logistic_regression,all,1089,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",0.7922465208747514,0.7927310721716978,0.7930626623363841,0.9156529761996614,0.9158220209779783,0.8337984278849818,0.8339169700171635,0.7653631284916201,0.6956521739130435,0.9171779141104295,1576.2608999975782,7.397499997750856,7.35337971943425,1006,0,0,0,1089,3267.0
168,100,25,240,60,4033,1006,99,1089,logistic_regression_c10_all,logistic_regression,all,1089,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",0.7862823061630219,0.7867527542853706,0.7870827891621736,0.910384483126791,0.9105534070926743,0.8273086780383482,0.8273487367683191,0.7538677918424754,0.6873065015479877,0.9190839694656489,1745.426800000132,7.666400000744034,7.620675945073592,1006,0,0,0,1089,3267.0
168,100,25,240,60,4033,1006,99,1089,logistic_regression_c1_balanced_all,logistic_regression,all,1089,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",0.7912524850894632,0.7916990765770958,0.7920345586340028,0.9155667147910621,0.9157363439737984,0.8335131217282971,0.8336349576133962,0.7642956764295676,0.6936236391912908,0.9171779141104295,1635.7400000015332,7.794400000420865,7.747912525269249,1006,0,0,0,1089,3267.0
