seed,classifier,family,top_k,estimated_model_units,max_depth,n_estimators,c,class_weight,train_samples,test_samples,accuracy,macro_f1,weighted_f1,empty_precision,empty_recall,empty_f1,empty_support,static_presence_precision,static_presence_recall,static_presence_f1,static_presence_support,movement_precision,movement_recall,movement_f1,movement_support,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_roc_auc,empty_average_precision,static_presence_roc_auc,static_presence_average_precision,movement_roc_auc,movement_average_precision,fit_time_ms,prediction_time_ms
84,logistic_regression_c0_1,logistic_regression,231,1,,,0.1,,325,92,0.6086956521739131,0.6045441472533793,0.6042252816646034,0.6666666666666666,0.6666666666666666,0.6666666666666666,33,0.5384615384615384,0.45161290322580644,0.49122807017543857,31,0.6060606060606061,0.7142857142857143,0.6557377049180327,28,0.7821600726931103,0.7814757099647245,0.6769134894166635,0.6746624024122205,0.8305084745762712,0.6705165194825261,0.6805922792173453,0.6185417711706424,0.8353794642857143,0.7416821775968219,76.84840000001714,7.085599999982151
84,logistic_regression_c1,logistic_regression,231,1,,,1.0,,325,92,0.6521739130434783,0.6462133775566611,0.6470726079746196,0.7058823529411765,0.7272727272727273,0.7164179104477612,33,0.6521739130434783,0.4838709677419355,0.5555555555555556,31,0.6,0.75,0.6666666666666666,28,0.7798130784126278,0.7795192580668543,0.6562680029368115,0.6539804592031505,0.8253723677452491,0.6278404133098571,0.6948704389212057,0.6334959778161301,0.8191964285714285,0.7074676176844474,107.56659999998419,6.605799999988449
84,logistic_regression_c10,logistic_regression,231,1,,,10.0,,325,92,0.6086956521739131,0.6069591212458287,0.6054810296464671,0.6551724137931034,0.5757575757575758,0.6129032258064516,33,0.5925925925925926,0.5161290322580645,0.5517241379310345,31,0.5833333333333334,0.75,0.65625,28,0.7773514953238094,0.7766289624533383,0.642812504653406,0.6402385752670707,0.8068823831535696,0.5997292955793078,0.7059756742464303,0.635684018595952,0.8191964285714285,0.6930241997849583,124.84320000004345,6.9102999999586245
84,logistic_regression_c1_balanced,logistic_regression,231,1,,,1.0,balanced,325,92,0.6521739130434783,0.6462857544451471,0.6465661065735316,0.6857142857142857,0.7272727272727273,0.7058823529411765,33,0.6521739130434783,0.4838709677419355,0.5555555555555556,31,0.6176470588235294,0.75,0.6774193548387096,28,0.780753458231178,0.7806923552889088,0.6569758786546313,0.6547790553568933,0.8263995891114535,0.6300245538488749,0.7028027498677948,0.6345255055335939,0.8130580357142857,0.7063775765814251,101.09829999998965,8.186899999998332
84,xgboost_depth2_10,xgboost,231,10,2,10,,,325,92,0.5108695652173914,0.5074448828172761,0.5076067605103485,0.65,0.3939393939393939,0.49056603773584906,33,0.46511627906976744,0.6451612903225806,0.5405405405405406,31,0.4827586206896552,0.5,0.49122807017543857,28,0.8127824925800177,0.813601533525315,0.6842445391310173,0.6853891768924554,0.8579866461222393,0.7529923195323718,0.7625594923320994,0.6047671298128618,0.8178013392857143,0.6949741680478183,225.22559999998748,5.345299999987674
84,xgboost_depth2_20,xgboost,231,20,2,20,,,325,92,0.5543478260869565,0.5546174281280413,0.5548592980397673,0.6666666666666666,0.48484848484848486,0.5614035087719298,33,0.5,0.6129032258064516,0.5507246376811594,31,0.5333333333333333,0.5714285714285714,0.5517241379310345,28,0.8185755210165273,0.8191822985249526,0.7035471065954093,0.7041546163529911,0.8608115048793016,0.7486253137312695,0.7667900581702802,0.6470470606014838,0.828125,0.7149689454534747,480.28909999999314,7.125700000017332
84,xgboost_depth3_20,xgboost,231,20,3,20,,,325,92,0.6304347826086957,0.6234929944607365,0.6304347826086957,0.7575757575757576,0.7575757575757576,0.7575757575757576,33,0.6129032258064516,0.6129032258064516,0.6129032258064516,31,0.5,0.5,0.5,28,0.8238764739328222,0.8262620787628205,0.7105035604305039,0.7133471408192422,0.8906009244992297,0.7844620168683465,0.7858276044420942,0.6744425982887424,0.7952008928571428,0.6726060661344226,686.7105000000038,4.502399999978479
126,gradient_boosting_depth3_20,gradient_boosting,231,20,3,20,,,339,78,0.7948717948717948,0.8057533863985477,0.7958707958707959,1.0,0.75,0.8571428571428571,16,0.7419354838709677,0.7419354838709677,0.7419354838709677,31,0.7714285714285715,0.8709677419354839,0.8181818181818182,31,0.8943534088309312,0.8846989775267057,0.8312408977728177,0.8166077782322393,0.9445564516129032,0.9073331193838254,0.8380233356211393,0.8108456611632402,0.9004804392587509,0.7755439127713875,1236.4971000000082,3.829499999994823
126,logistic_regression_c0_1,logistic_regression,231,1,,,0.1,,339,78,0.5897435897435898,0.5868332032266458,0.5897956324185832,0.5263157894736842,0.625,0.5714285714285714,16,0.5517241379310345,0.5161290322580645,0.5333333333333333,31,0.6666666666666666,0.6451612903225806,0.6557377049180327,31,0.7705974033401968,0.7623453531140559,0.6804410730651913,0.6807200856688067,0.813508064516129,0.6789902075263917,0.6739876458476322,0.5655995006716096,0.824296499656829,0.7967335109975728,55.11740000002874,5.009599999993952
126,logistic_regression_c1,logistic_regression,231,1,,,1.0,,339,78,0.6410256410256411,0.6468980877879184,0.6390900277471334,0.6875,0.6875,0.6875,16,0.6071428571428571,0.5483870967741935,0.576271186440678,31,0.6470588235294118,0.7096774193548387,0.676923076923077,31,0.7862402768245252,0.7709158263379265,0.7053926253749706,0.6958051628200155,0.8659274193548387,0.7552474306607371,0.6815374056280027,0.6110020263854663,0.8112560054907344,0.7499284190787083,85.50100000002203,4.620999999985997
126,logistic_regression_c10,logistic_regression,231,1,,,10.0,,339,78,0.6538461538461539,0.654936974789916,0.6486748545572075,0.6875,0.6875,0.6875,16,0.64,0.5161290322580645,0.5714285714285714,31,0.6486486486486487,0.7741935483870968,0.7058823529411765,31,0.7886496225120109,0.7739823662953381,0.6787211169787706,0.6709563705415522,0.8649193548387096,0.7190977984523066,0.7137954701441318,0.615256606098687,0.7872340425531914,0.7018089463853182,112.13939999998956,5.363199999976587
126,logistic_regression_c1_balanced,logistic_regression,231,1,,,1.0,balanced,339,78,0.6410256410256411,0.643479284369115,0.6390201723888165,0.6470588235294118,0.6875,0.6666666666666666,16,0.6071428571428571,0.5483870967741935,0.576271186440678,31,0.6666666666666666,0.7096774193548387,0.6875,31,0.7855539350263098,0.7700974957323619,0.7024246580310888,0.6922664325253871,0.8659274193548387,0.7552474306607371,0.6801647220315717,0.6074244700511393,0.8105696636925188,0.7446020733813897,85.3460999999811,4.668699999967885
126,xgboost_depth2_10,xgboost,231,10,2,10,,,339,78,0.7435897435897436,0.7585860603437754,0.7431776724446255,0.8666666666666667,0.8125,0.8387096774193549,16,0.6756756756756757,0.8064516129032258,0.7352941176470589,31,0.7692307692307693,0.6451612903225806,0.7017543859649122,31,0.8667281514527568,0.8595155130844905,0.79430061303239,0.8009906897739074,0.904233870967742,0.7595122139764997,0.8112560054907344,0.7812905858478676,0.8846945778997941,0.8420990392728027,179.68720000004623,3.572300000030282
126,xgboost_depth2_20,xgboost,231,20,2,20,,,339,78,0.717948717948718,0.7287638287638286,0.7173955673955674,0.7647058823529411,0.8125,0.7878787878787878,16,0.6875,0.7096774193548387,0.6984126984126984,31,0.7241379310344828,0.6774193548387096,0.7,31,0.8824782658430564,0.8742234658500959,0.8085876700855389,0.8074060472178494,0.9254032258064515,0.8147321089975237,0.8339052848318462,0.7835668401696596,0.8881262868908716,0.8274640610894333,307.3983000000453,3.707700000006753
