seed,classifier,true_label,predicted_label,count,normalized_by_true_class
21,xgboost_depth2_10,movement,empty,1,0.03225806451612903
21,xgboost_depth2_10,movement,static_presence,11,0.3548387096774194
21,xgboost_depth2_10,movement,movement,19,0.6129032258064516
21,xgboost_depth2_20,empty,empty,10,0.6666666666666666
21,xgboost_depth2_20,empty,static_presence,1,0.06666666666666667
21,xgboost_depth2_20,empty,movement,4,0.26666666666666666
21,xgboost_depth2_20,static_presence,empty,2,0.06896551724137931
21,xgboost_depth2_20,static_presence,static_presence,22,0.7586206896551724
21,xgboost_depth2_20,static_presence,movement,5,0.1724137931034483
21,xgboost_depth2_20,movement,empty,1,0.03225806451612903
21,xgboost_depth2_20,movement,static_presence,11,0.3548387096774194
21,xgboost_depth2_20,movement,movement,19,0.6129032258064516
21,xgboost_depth3_20,empty,empty,11,0.7333333333333333
21,xgboost_depth3_20,empty,static_presence,1,0.06666666666666667
21,xgboost_depth3_20,empty,movement,3,0.2
21,xgboost_depth3_20,static_presence,empty,2,0.06896551724137931
21,xgboost_depth3_20,static_presence,static_presence,21,0.7241379310344828
21,xgboost_depth3_20,static_presence,movement,6,0.20689655172413793
21,xgboost_depth3_20,movement,empty,2,0.06451612903225806
21,xgboost_depth3_20,movement,static_presence,9,0.2903225806451613
21,xgboost_depth3_20,movement,movement,20,0.6451612903225806
42,gradient_boosting_depth3_20,empty,empty,12,0.8
42,gradient_boosting_depth3_20,empty,static_presence,2,0.13333333333333333
42,gradient_boosting_depth3_20,empty,movement,1,0.06666666666666667
42,gradient_boosting_depth3_20,static_presence,empty,0,0.0
42,gradient_boosting_depth3_20,static_presence,static_presence,18,0.6428571428571429
42,gradient_boosting_depth3_20,static_presence,movement,10,0.35714285714285715
42,gradient_boosting_depth3_20,movement,empty,1,0.03333333333333333
42,gradient_boosting_depth3_20,movement,static_presence,7,0.23333333333333334
42,gradient_boosting_depth3_20,movement,movement,22,0.7333333333333333
42,logistic_regression_c0_1,empty,empty,8,0.5333333333333333
42,logistic_regression_c0_1,empty,static_presence,6,0.4
42,logistic_regression_c0_1,empty,movement,1,0.06666666666666667
42,logistic_regression_c0_1,static_presence,empty,4,0.14285714285714285
42,logistic_regression_c0_1,static_presence,static_presence,19,0.6785714285714286
42,logistic_regression_c0_1,static_presence,movement,5,0.17857142857142858
42,logistic_regression_c0_1,movement,empty,2,0.06666666666666667
42,logistic_regression_c0_1,movement,static_presence,10,0.3333333333333333
42,logistic_regression_c0_1,movement,movement,18,0.6
42,logistic_regression_c1,empty,empty,11,0.7333333333333333
42,logistic_regression_c1,empty,static_presence,3,0.2
42,logistic_regression_c1,empty,movement,1,0.06666666666666667
42,logistic_regression_c1,static_presence,empty,4,0.14285714285714285
42,logistic_regression_c1,static_presence,static_presence,18,0.6428571428571429
42,logistic_regression_c1,static_presence,movement,6,0.21428571428571427
42,logistic_regression_c1,movement,empty,2,0.06666666666666667
42,logistic_regression_c1,movement,static_presence,11,0.36666666666666664
42,logistic_regression_c1,movement,movement,17,0.5666666666666667
42,logistic_regression_c10,empty,empty,11,0.7333333333333333
42,logistic_regression_c10,empty,static_presence,2,0.13333333333333333
42,logistic_regression_c10,empty,movement,2,0.13333333333333333
42,logistic_regression_c10,static_presence,empty,3,0.10714285714285714
42,logistic_regression_c10,static_presence,static_presence,19,0.6785714285714286
42,logistic_regression_c10,static_presence,movement,6,0.21428571428571427
42,logistic_regression_c10,movement,empty,1,0.03333333333333333
42,logistic_regression_c10,movement,static_presence,14,0.4666666666666667
42,logistic_regression_c10,movement,movement,15,0.5
42,logistic_regression_c1_balanced,empty,empty,11,0.7333333333333333
42,logistic_regression_c1_balanced,empty,static_presence,3,0.2
42,logistic_regression_c1_balanced,empty,movement,1,0.06666666666666667
42,logistic_regression_c1_balanced,static_presence,empty,4,0.14285714285714285
42,logistic_regression_c1_balanced,static_presence,static_presence,18,0.6428571428571429
42,logistic_regression_c1_balanced,static_presence,movement,6,0.21428571428571427
42,logistic_regression_c1_balanced,movement,empty,2,0.06666666666666667
42,logistic_regression_c1_balanced,movement,static_presence,11,0.36666666666666664
42,logistic_regression_c1_balanced,movement,movement,17,0.5666666666666667
42,xgboost_depth2_10,empty,empty,7,0.4666666666666667
42,xgboost_depth2_10,empty,static_presence,3,0.2
42,xgboost_depth2_10,empty,movement,5,0.3333333333333333
42,xgboost_depth2_10,static_presence,empty,0,0.0
42,xgboost_depth2_10,static_presence,static_presence,21,0.75
42,xgboost_depth2_10,static_presence,movement,7,0.25
42,xgboost_depth2_10,movement,empty,2,0.06666666666666667
42,xgboost_depth2_10,movement,static_presence,11,0.36666666666666664
42,xgboost_depth2_10,movement,movement,17,0.5666666666666667
42,xgboost_depth2_20,empty,empty,11,0.7333333333333333
42,xgboost_depth2_20,empty,static_presence,0,0.0
42,xgboost_depth2_20,empty,movement,4,0.26666666666666666
42,xgboost_depth2_20,static_presence,empty,0,0.0
42,xgboost_depth2_20,static_presence,static_presence,21,0.75
42,xgboost_depth2_20,static_presence,movement,7,0.25
42,xgboost_depth2_20,movement,empty,2,0.06666666666666667
42,xgboost_depth2_20,movement,static_presence,10,0.3333333333333333
42,xgboost_depth2_20,movement,movement,18,0.6
42,xgboost_depth3_20,empty,empty,12,0.8
42,xgboost_depth3_20,empty,static_presence,0,0.0
42,xgboost_depth3_20,empty,movement,3,0.2
42,xgboost_depth3_20,static_presence,empty,0,0.0
42,xgboost_depth3_20,static_presence,static_presence,20,0.7142857142857143
42,xgboost_depth3_20,static_presence,movement,8,0.2857142857142857
42,xgboost_depth3_20,movement,empty,2,0.06666666666666667
42,xgboost_depth3_20,movement,static_presence,9,0.3
42,xgboost_depth3_20,movement,movement,19,0.6333333333333333
84,gradient_boosting_depth3_20,empty,empty,18,0.5454545454545454
84,gradient_boosting_depth3_20,empty,static_presence,7,0.21212121212121213
84,gradient_boosting_depth3_20,empty,movement,8,0.24242424242424243
84,gradient_boosting_depth3_20,static_presence,empty,4,0.12903225806451613
84,gradient_boosting_depth3_20,static_presence,static_presence,21,0.6774193548387096
84,gradient_boosting_depth3_20,static_presence,movement,6,0.1935483870967742
84,gradient_boosting_depth3_20,movement,empty,2,0.07142857142857142
84,gradient_boosting_depth3_20,movement,static_presence,8,0.2857142857142857
84,gradient_boosting_depth3_20,movement,movement,18,0.6428571428571429
84,logistic_regression_c0_1,empty,empty,22,0.6666666666666666
84,logistic_regression_c0_1,empty,static_presence,8,0.24242424242424243
84,logistic_regression_c0_1,empty,movement,3,0.09090909090909091
84,logistic_regression_c0_1,static_presence,empty,7,0.22580645161290322
84,logistic_regression_c0_1,static_presence,static_presence,14,0.45161290322580644
84,logistic_regression_c0_1,static_presence,movement,10,0.3225806451612903
84,logistic_regression_c0_1,movement,empty,4,0.14285714285714285
84,logistic_regression_c0_1,movement,static_presence,4,0.14285714285714285
84,logistic_regression_c0_1,movement,movement,20,0.7142857142857143
84,logistic_regression_c1,empty,empty,24,0.7272727272727273
84,logistic_regression_c1,empty,static_presence,6,0.18181818181818182
84,logistic_regression_c1,empty,movement,3,0.09090909090909091
84,logistic_regression_c1,static_presence,empty,5,0.16129032258064516
84,logistic_regression_c1,static_presence,static_presence,15,0.4838709677419355
84,logistic_regression_c1,static_presence,movement,11,0.3548387096774194
84,logistic_regression_c1,movement,empty,5,0.17857142857142858
84,logistic_regression_c1,movement,static_presence,2,0.07142857142857142
84,logistic_regression_c1,movement,movement,21,0.75
84,logistic_regression_c10,empty,empty,19,0.5757575757575758
84,logistic_regression_c10,empty,static_presence,9,0.2727272727272727
84,logistic_regression_c10,empty,movement,5,0.15151515151515152
84,logistic_regression_c10,static_presence,empty,5,0.16129032258064516
84,logistic_regression_c10,static_presence,static_presence,16,0.5161290322580645
