seed,classifier,family,top_k,label,precision,recall,f1,support,roc_auc,average_precision
42,gradient_boosting_top160,gradient_boosting,160,movement,0.6071428571428571,0.5666666666666667,0.5862068965517241,30,0.7178294573643411,0.669924940890042
42,xgboost_top160,xgboost,160,empty,0.8,0.5333333333333333,0.64,15,0.960919540229885,0.8122147405970934
42,xgboost_top160,xgboost,160,static_presence,0.6176470588235294,0.75,0.6774193548387096,28,0.8023809523809524,0.7456199530446416
42,xgboost_top160,xgboost,160,movement,0.6206896551724138,0.6,0.6101694915254238,30,0.751937984496124,0.7401959507076589
42,gradient_boosting_top231,gradient_boosting,231,empty,0.9230769230769231,0.8,0.8571428571428571,15,0.9758620689655172,0.850252291568081
42,gradient_boosting_top231,gradient_boosting,231,static_presence,0.6666666666666666,0.6428571428571429,0.6545454545454545,28,0.7857142857142857,0.7360057952855208
42,gradient_boosting_top231,gradient_boosting,231,movement,0.6666666666666666,0.7333333333333333,0.6984126984126984,30,0.772093023255814,0.6801799961350748
42,xgboost_top231,xgboost,231,empty,0.8571428571428571,0.8,0.8275862068965517,15,0.9747126436781609,0.8453360637184166
42,xgboost_top231,xgboost,231,static_presence,0.6896551724137931,0.7142857142857143,0.7017543859649122,28,0.8277777777777778,0.7835980597483687
42,xgboost_top231,xgboost,231,movement,0.6333333333333333,0.6333333333333333,0.6333333333333333,30,0.7728682170542636,0.7275631603529898
84,gradient_boosting_top30,gradient_boosting,30,empty,0.5945945945945946,0.6666666666666666,0.6285714285714286,33,0.7847971237801747,0.6359481285226329
84,gradient_boosting_top30,gradient_boosting,30,static_presence,0.5555555555555556,0.4838709677419355,0.5172413793103449,31,0.7176097303014278,0.6099896316148421
84,gradient_boosting_top30,gradient_boosting,30,movement,0.5714285714285714,0.5714285714285714,0.5714285714285714,28,0.8074776785714286,0.74653146967209
84,xgboost_top30,xgboost,30,empty,0.5882352941176471,0.6060606060606061,0.5970149253731343,33,0.7663071391884951,0.5810879300525937
84,xgboost_top30,xgboost,30,static_presence,0.5333333333333333,0.5161290322580645,0.5245901639344263,31,0.7128503437334743,0.6217734807544864
84,xgboost_top30,xgboost,30,movement,0.5714285714285714,0.5714285714285714,0.5714285714285714,28,0.8392857142857142,0.7729645824766112
84,gradient_boosting_top50,gradient_boosting,50,empty,0.7368421052631579,0.42424242424242425,0.5384615384615384,33,0.8613251155624037,0.7373944100427257
84,gradient_boosting_top50,gradient_boosting,50,static_presence,0.4883720930232558,0.6774193548387096,0.5675675675675675,31,0.7530407191961924,0.6673689305930808
84,gradient_boosting_top50,gradient_boosting,50,movement,0.6,0.6428571428571429,0.6206896551724138,28,0.8404017857142857,0.7645137854753581
84,xgboost_top50,xgboost,50,empty,0.7727272727272727,0.5151515151515151,0.6181818181818182,33,0.8731381612737544,0.7155314891950452
84,xgboost_top50,xgboost,50,static_presence,0.5789473684210527,0.7096774193548387,0.6376811594202898,31,0.765732416710735,0.6673059405428815
84,xgboost_top50,xgboost,50,movement,0.625,0.7142857142857143,0.6666666666666666,28,0.8610491071428572,0.7782052328171881
84,gradient_boosting_top70,gradient_boosting,70,empty,0.6818181818181818,0.45454545454545453,0.5454545454545454,33,0.857216230097586,0.7196395427999907
