top_k,feature_index,selection_count,selection_rate,mean_rank_when_selected,mean_fisher_score_when_selected
100,174,4,0.4,88.75,0.06837975427165793
100,88,3,0.3,67.33333333333333,0.07720616966536192
100,166,3,0.3,72,0.0823487046531411
100,172,3,0.3,76.66666666666667,0.07918336457677438
100,195,3,0.3,80,0.05573468142372711
100,77,3,0.3,81.66666666666667,0.0683050890397422
100,16,3,0.3,82,0.061834944909248
100,102,3,0.3,90.66666666666667,0.06335576982619702
100,107,3,0.3,93.66666666666667,0.05816022229782208
100,185,3,0.3,95,0.07139053041902287
100,222,2,0.2,80.5,0.06702699328396566
100,211,2,0.2,86.5,0.06463589081421796
100,119,2,0.2,94.5,0.0733246290785663
100,144,2,0.2,94.5,0.07462823280253805
100,170,2,0.2,95,0.0547076198585322
100,157,1,0.1,63,0.07903891410799942
100,71,1,0.1,71,0.06041099343554785
100,145,1,0.1,73,0.07026222797450607
100,137,1,0.1,75,0.06756766705897395
100,143,1,0.1,88,0.06157011859063875
100,173,1,0.1,88,0.07409396056678008
100,147,1,0.1,95,0.07390071388410539
100,47,1,0.1,96,0.057693291624057404
100,96,1,0.1,99,0.0415961183994573
100,200,1,0.1,99,0.06057611284229266
100,44,1,0.1,100,0.055054762635548274
126,199,10,1.0,1.3,0.20782677704827104
126,202,10,1.0,2.9,0.19581478668210853
126,221,10,1.0,5.3,0.17593063688057978
126,188,10,1.0,6.3,0.16968468002223475
126,224,10,1.0,7.4,0.17018232573066167
126,210,10,1.0,9.2,0.16090082446522017
126,205,10,1.0,9.4,0.1621957485764499
126,213,10,1.0,10,0.15986022000500363
126,67,10,1.0,10.2,0.15609643469465176
126,191,10,1.0,11.1,0.15006003139601273
126,56,10,1.0,13.4,0.144909159111539
126,204,10,1.0,13.4,0.14651623508368572
126,70,10,1.0,14.4,0.14546989753188747
126,59,10,1.0,16.2,0.14063830985609313
126,23,10,1.0,17.9,0.1343335617430785
126,227,10,1.0,17.9,0.14019464511689878
