seed,classifier,family,top_k,true_label,predicted_label,count,normalized_by_true_class
13,xgboost_top160,xgboost,160,empty,movement,2,0.05405405405405406
13,xgboost_top160,xgboost,160,static_presence,empty,4,0.125
13,xgboost_top160,xgboost,160,static_presence,static_presence,23,0.71875
13,xgboost_top160,xgboost,160,static_presence,movement,5,0.15625
13,xgboost_top160,xgboost,160,movement,empty,1,0.037037037037037035
13,xgboost_top160,xgboost,160,movement,static_presence,13,0.48148148148148145
13,xgboost_top160,xgboost,160,movement,movement,13,0.48148148148148145
13,gradient_boosting_top231,gradient_boosting,231,empty,empty,33,0.8918918918918919
13,gradient_boosting_top231,gradient_boosting,231,empty,static_presence,1,0.02702702702702703
13,gradient_boosting_top231,gradient_boosting,231,empty,movement,3,0.08108108108108109
13,gradient_boosting_top231,gradient_boosting,231,static_presence,empty,3,0.09375
13,gradient_boosting_top231,gradient_boosting,231,static_presence,static_presence,21,0.65625
13,gradient_boosting_top231,gradient_boosting,231,static_presence,movement,8,0.25
13,gradient_boosting_top231,gradient_boosting,231,movement,empty,1,0.037037037037037035
13,gradient_boosting_top231,gradient_boosting,231,movement,static_presence,10,0.37037037037037035
13,gradient_boosting_top231,gradient_boosting,231,movement,movement,16,0.5925925925925926
13,xgboost_top231,xgboost,231,empty,empty,29,0.7837837837837838
13,xgboost_top231,xgboost,231,empty,static_presence,2,0.05405405405405406
13,xgboost_top231,xgboost,231,empty,movement,6,0.16216216216216217
13,xgboost_top231,xgboost,231,static_presence,empty,4,0.125
13,xgboost_top231,xgboost,231,static_presence,static_presence,21,0.65625
13,xgboost_top231,xgboost,231,static_presence,movement,7,0.21875
13,xgboost_top231,xgboost,231,movement,empty,0,0.0
13,xgboost_top231,xgboost,231,movement,static_presence,10,0.37037037037037035
13,xgboost_top231,xgboost,231,movement,movement,17,0.6296296296296297
21,gradient_boosting_top30,gradient_boosting,30,empty,empty,9,0.6
21,gradient_boosting_top30,gradient_boosting,30,empty,static_presence,1,0.06666666666666667
21,gradient_boosting_top30,gradient_boosting,30,empty,movement,5,0.3333333333333333
21,gradient_boosting_top30,gradient_boosting,30,static_presence,empty,2,0.06896551724137931
21,gradient_boosting_top30,gradient_boosting,30,static_presence,static_presence,22,0.7586206896551724
21,gradient_boosting_top30,gradient_boosting,30,static_presence,movement,5,0.1724137931034483
21,gradient_boosting_top30,gradient_boosting,30,movement,empty,2,0.06451612903225806
21,gradient_boosting_top30,gradient_boosting,30,movement,static_presence,11,0.3548387096774194
21,gradient_boosting_top30,gradient_boosting,30,movement,movement,18,0.5806451612903226
21,xgboost_top30,xgboost,30,empty,empty,9,0.6
21,xgboost_top30,xgboost,30,empty,static_presence,2,0.13333333333333333
21,xgboost_top30,xgboost,30,empty,movement,4,0.26666666666666666
