label,pc_timestamp,elapsed_s,packet_index,feature_type,window_size,mean_amplitude,std_amplitude,variance_amplitude,energy_amplitude,max_amplitude,min_amplitude,range_amplitude,num_subcarriers,rssi,rate,channel,csi_len
empty,2026-05-17T22:30:07.237,34.283966,32,packet,1,45.28865452542125,4.809374072511738,23.130078969348137,107858.0,53.907327887774215,32.2490309931942,21.65829689458002,52,-25,11,6,384
empty,2026-05-17T22:30:07.237,34.283966,32,window,20,32.33728274047643,22.807534271348825,520.1836195387511,5912776.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:18.925,45.971492,33,packet,1,55.80669835325352,5.271194915011808,27.785495832046344,163393.0,63.25345840347388,40.70626487409524,22.54719352937864,52,-25,11,6,384
empty,2026-05-17T22:30:18.925,45.971492,33,window,20,32.56068331723531,22.959335492055242,527.1310862367475,5993755.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:19.035,46.081515,34,packet,1,47.24543310369752,4.628903018182082,21.426743151735188,117185.0,55.08175741568164,34.92849839314596,20.153259022535686,52,-25,11,6,384
empty,2026-05-17T22:30:19.035,46.081515,34,window,20,32.385179225669944,22.8285442696286,521.1424334703929,5928102.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:19.143,46.190156,35,packet,1,54.53314036991331,5.60580618054111,31.425062933792915,156275.0,63.631753079732135,40.01249804748511,23.619255032247025,52,-25,11,6,384
empty,2026-05-17T22:30:19.143,46.190156,35,window,20,32.37755388790322,22.843329006153414,521.81768008337,5928787.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:19.255,46.30181,36,packet,1,54.5919634358937,5.178192933852327,26.813682060198175,156369.0,65.11528238439882,40.496913462633174,24.61836892176565,52,-25,11,6,384
empty,2026-05-17T22:30:19.255,46.30181,36,window,20,32.36977386199954,22.852799421388074,522.2504413941951,5928519.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:19.362,46.408524,37,packet,1,47.803189591681345,4.481722223937556,20.08583409253579,119872.0,54.230987451824994,36.22154055254967,18.009446899275325,52,-25,11,6,384
empty,2026-05-17T22:30:19.362,46.408524,37,window,20,32.24695220033453,22.729877151334613,516.6473153147633,5877394.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:19.472,46.519339,38,packet,1,55.3957445930159,5.536933703007995,30.65763483150583,161166.0,62.96824596572466,39.824615503479755,23.143630462244907,52,-26,11,6,384
empty,2026-05-17T22:30:19.472,46.519339,38,window,20,32.21019255952555,22.730616615458494,516.6809317189577,5868574.0,68.70953354520753,0.0,68.70953354520753,3776,-26,11,6,384
empty,2026-05-17T22:30:19.581,46.628001,39,packet,1,55.48774410145904,5.285563130634326,27.937177607920944,161555.0,63.51377803280167,41.10960958218893,22.404168450612737,52,-26,11,6,384
empty,2026-05-17T22:30:19.581,46.628001,39,window,20,32.47262317107544,22.892680596597025,524.0748248978099,5960590.0,68.70953354520753,0.0,68.70953354520753,3776,-26,11,6,384
empty,2026-05-17T22:30:19.587,46.634003,40,packet,1,54.254844935707915,5.1186192025535915,26.200262540750366,154429.0,62.39390995922599,41.10960958218893,21.284300377037056,52,-26,11,6,384
empty,2026-05-17T22:30:19.587,46.634003,40,window,20,32.42399409624927,22.86118455786496,522.6337593887632,5943232.0,68.70953354520753,0.0,68.70953354520753,3776,-26,11,6,384
empty,2026-05-17T22:30:19.691,46.737667,41,packet,1,55.52628948420457,5.438857979053533,29.581176116314282,161863.0,62.68173577685928,41.23105625617661,21.45067952068267,52,-26,11,6,384
empty,2026-05-17T22:30:19.691,46.737667,41,window,20,32.450670326735725,22.890920680103484,523.9942495827893,5954904.0,68.70953354520753,0.0,68.70953354520753,3776,-26,11,6,384
empty,2026-05-17T22:30:19.803,46.849743,42,packet,1,54.5700183208778,5.5172478225999,30.44002353598334,156433.0,63.06346010171025,40.311288741492746,22.752171360217503,52,-26,11,6,384
empty,2026-05-17T22:30:19.803,46.849743,42,window,20,32.57687260746618,22.94695482412098,526.562735700249,6097211.0,67.446274915669,0.0,67.446274915669,3840,-26,11,6,384
empty,2026-05-17T22:30:19.912,46.958656,43,packet,1,14.308311616191197,2.193326294108905,4.810680232429504,10896.0,18.110770276274835,9.219544457292887,8.891225818981948,52,-21,11,6,128
empty,2026-05-17T22:30:19.912,46.958656,43,window,20,32.186675350733275,22.888472076668478,523.8821540044327,5790216.0,67.446274915669,0.0,67.446274915669,3712,-21,11,6,128
empty,2026-05-17T22:30:31.505,58.552076,44,packet,1,55.50945663349136,5.625169503832871,31.64253194685135,161873.0,64.76109943476871,39.44616584663204,25.314933588136668,52,-25,11,6,384
empty,2026-05-17T22:30:31.505,58.552076,44,window,20,32.16517745616268,22.901170053449523,524.4635898170131,5787239.0,67.446274915669,0.0,67.446274915669,3712,-25,11,6,384
empty,2026-05-17T22:30:31.617,58.664152,45,packet,1,53.40178224186873,5.304174655556745,28.13426877665051,149754.0,61.61168720299745,38.27531841800928,23.336368784988174,52,-25,11,6,384
empty,2026-05-17T22:30:31.617,58.664152,45,window,20,32.13725281785487,22.8600631623534,522.5824877867869,5773591.0,67.446274915669,0.0,67.446274915669,3712,-25,11,6,384
empty,2026-05-17T22:30:31.730,58.776734,46,packet,1,47.93764250664732,4.6473449969058205,21.59781552026556,120620.0,55.21775076911409,35.510561809129406,19.707188959984684,52,-25,11,6,384
empty,2026-05-17T22:30:31.730,58.776734,46,window,20,31.986410317050627,22.742513619187402,517.2219257189245,5717788.0,67.446274915669,0.0,67.446274915669,3712,-25,11,6,384
empty,2026-05-17T22:30:31.842,58.888945,47,packet,1,55.498513682727555,5.2889196737891675,27.972671315794113,161619.0,63.0317380372777,39.56008088970496,23.471657147572735,52,-25,11,6,384
empty,2026-05-17T22:30:31.842,58.888945,47,window,20,31.976658642557485,22.769767707508688,518.4623214539055,5720077.0,67.446274915669,0.0,67.446274915669,3712,-25,11,6,384
empty,2026-05-17T22:30:31.951,58.998209,48,packet,1,55.10314083964748,5.255914652726387,27.624638836743937,159327.0,62.24146527838174,41.23105625617661,21.01040902220513,52,-25,11,6,384
empty,2026-05-17T22:30:31.951,58.998209,48,window,20,31.95670252077489,22.74530512826776,517.3489053780037,5711208.0,67.446274915669,0.0,67.446274915669,3712,-25,11,6,384
empty,2026-05-17T22:30:32.050,59.096428,49,packet,1,46.297122081803,4.523395000134861,20.46110232724506,112522.0,52.952809179494906,34.132096331752024,18.820712847742882,52,-25,11,6,384
empty,2026-05-17T22:30:32.050,59.096428,49,window,20,31.771692783152126,22.601590599043952,510.831897606792,5643251.0,67.446274915669,0.0,67.446274915669,3712,-25,11,6,384
empty,2026-05-17T22:30:32.161,59.20805,50,packet,1,54.707788017480716,5.809495496744812,33.75023792669825,157388.0,63.63961030678928,38.91015291668744,24.729457390101842,52,-25,11,6,384
empty,2026-05-17T22:30:32.161,59.20805,50,window,20,31.750077052978142,22.582629868665073,509.97517178512385,5634974.0,67.446274915669,0.0,67.446274915669,3712,-25,11,6,384
empty,2026-05-17T22:30:32.273,59.319425,51,packet,1,55.46401960301629,5.52374512857501,30.511760245456152,161552.0,65.06919393998976,40.024992192379,25.044201747610757,52,-25,11,6,384
empty,2026-05-17T22:30:32.273,59.319425,51,window,20,31.93835632584528,22.739153220136718,517.069089168854,5705818.0,67.446274915669,0.0,67.446274915669,3712,-25,11,6,384
empty,2026-05-17T22:30:32.380,59.427027,52,packet,1,55.637718911606434,5.280770966949621,27.886542005378036,162419.0,62.96824596572466,42.20189569201838,20.76635027370628,52,-25,11,6,384
empty,2026-05-17T22:30:32.380,59.427027,52,window,20,32.14511410237365,22.907930209876106,524.7732665005543,5783599.0,67.446274915669,0.0,67.446274915669,3712,-25,11,6,384
empty,2026-05-17T22:30:32.488,59.535261,53,packet,1,55.978195635274204,5.183115891241878,26.864690342044096,164342.0,63.245553203367585,42.80186911806539,20.443684085302195,52,-26,11,6,384
empty,2026-05-17T22:30:32.488,59.535261,53,window,20,32.14375562631326,22.91844231056633,525.254997942757,5785063.0,67.62396025078685,0.0,67.62396025078685,3712,-26,11,6,384
empty,2026-05-17T22:30:32.595,59.64184,54,packet,1,54.702225610198184,5.439631441012804,29.589590214055043,157140.0,63.60031446463138,39.96248240537617,23.63783205925521,52,-25,11,6,384
empty,2026-05-17T22:30:32.595,59.64184,54,window,20,32.334011955635894,23.052158824202163,531.4020264562416,5853417.0,67.62396025078685,0.0,67.62396025078685,3712,-25,11,6,384
