seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean,confidence_mean,confidence_std,realtime_score
126,seed126_quad2_scenario1,quad2,confirm2_conf060_override080,60,0.4,0.1904761904761905,0.2285714285714286,0.5714285714285715,0.0,0.0,4,0,0,4,4,1,0.25,9.0,0.5160686770301567,0.12327134117496316,-0.0195238095238095
126,seed126_quad2_scenario1,quad2,confirm3_conf050_override080,60,0.5333333333333333,0.42962962962962964,0.4044444444444445,0.7333333333333334,0.0,0.5555555555555556,4,2,0,2,4,2,0.5,7.0,0.5160686770301567,0.12327134117496316,0.29962962962962963
126,seed126_quad2_scenario1,quad2,vote3_confirm2_conf050,60,0.5166666666666667,0.44344193817878025,0.4064160401002507,0.7017543859649124,0.0,0.6285714285714286,4,6,2,0,4,2,0.5,6.25,0.5160686770301567,0.12327134117496316,0.37094193817878024
126,seed126_quad2_scenario1,quad2,vote3_confirm2_conf060,60,0.7333333333333333,0.553030303030303,0.6636363636363636,0.9090909090909091,0.7499999999999999,0.0,4,2,0,2,4,3,0.75,3.25,0.5160686770301567,0.12327134117496316,0.46053030303030296
126,seed126_quad2_scenario1,quad2,movement_priority_confirm,60,0.55,0.4467857688196671,0.41722400366468165,0.7457627118644068,0.0,0.5945945945945945,4,2,0,2,4,2,0.5,6.75,0.5160686770301567,0.12327134117496316,0.3192857688196671
126,seed126_quad2_scenario2,quad2,raw_prediction,60,0.7333333333333333,0.7252525252525253,0.7369696969696969,0.9090909090909091,0.6,0.6666666666666666,4,29,25,0,4,4,1.0,0.5,0.5155878228326215,0.1248444174930665,0.5952525252525253
126,seed126_quad2_scenario2,quad2,majority_vote_3,60,0.7166666666666667,0.7065527065527065,0.7145299145299145,0.888888888888889,0.5641025641025641,0.6666666666666666,4,26,22,0,4,4,1.0,1.0,0.5155878228326215,0.1248444174930665,0.5865527065527065
126,seed126_quad2_scenario2,quad2,majority_vote_5,60,0.7166666666666667,0.6932003432003432,0.7021106821106821,0.9166666666666666,0.5142857142857142,0.6486486486486487,4,21,17,0,4,4,1.0,2.25,0.5155878228326215,0.1248444174930665,0.5857003432003431
126,seed126_quad2_scenario2,quad2,confidence_hold_055,60,0.45,0.38135593220338987,0.35762711864406777,0.6440677966101694,0.0,0.5,4,6,2,0,4,2,0.5,7.0,0.5155878228326215,0.1248444174930665,0.30135593220338985
126,seed126_quad2_scenario2,quad2,confidence_hold_065,60,0.5333333333333333,0.4166666666666667,0.39999999999999997,0.7499999999999999,0.0,0.5,4,2,0,2,4,2,0.5,7.0,0.5155878228326215,0.1248444174930665,0.2866666666666667
126,seed126_quad2_scenario2,quad2,confirm2_conf050_override075,60,0.4666666666666667,0.3888888888888889,0.36666666666666664,0.6666666666666667,0.0,0.5,4,6,2,0,4,2,0.5,7.0,0.5155878228326215,0.1248444174930665,0.3088888888888889
126,seed126_quad2_scenario2,quad2,confirm2_conf060_override080,60,0.4,0.1904761904761905,0.2285714285714286,0.5714285714285715,0.0,0.0,4,0,0,4,4,1,0.25,9.0,0.5155878228326215,0.1248444174930665,-0.0195238095238095
126,seed126_quad2_scenario2,quad2,confirm3_conf050_override080,60,0.5,0.3934218848829855,0.377988614800759,0.7096774193548387,0.0,0.4705882352941177,4,2,0,2,4,2,0.5,7.5,0.5155878228326215,0.1248444174930665,0.2584218848829855
126,seed126_quad2_scenario2,quad2,vote3_confirm2_conf050,60,0.4666666666666667,0.3888888888888889,0.36666666666666664,0.6666666666666667,0.0,0.5,4,6,2,0,4,2,0.5,7.0,0.5155878228326215,0.1248444174930665,0.3088888888888889
126,seed126_quad2_scenario2,quad2,vote3_confirm2_conf060,60,0.4,0.1904761904761905,0.2285714285714286,0.5714285714285715,0.0,0.0,4,0,0,4,4,1,0.25,9.0,0.5155878228326215,0.1248444174930665,-0.0195238095238095
126,seed126_quad2_scenario2,quad2,movement_priority_confirm,60,0.5,0.3934218848829855,0.377988614800759,0.7096774193548387,0.0,0.4705882352941177,4,2,0,2,4,2,0.5,7.5,0.5155878228326215,0.1248444174930665,0.2584218848829855
126,seed126_quad2_scenario3,quad2,raw_prediction,60,0.7166666666666667,0.711917816852587,0.7209680468897712,0.8837209302325582,0.5853658536585366,0.6666666666666666,4,28,24,0,4,4,1.0,1.0,0.5155138117169115,0.12299771821045963,0.581917816852587
126,seed126_quad2_scenario3,quad2,majority_vote_3,60,0.7,0.6934343434343434,0.6987878787878787,0.8636363636363635,0.5499999999999999,0.6666666666666666,4,24,20,0,4,4,1.0,1.75,0.5155138117169115,0.12299771821045963,0.5759343434343434
126,seed126_quad2_scenario3,quad2,majority_vote_5,60,0.6833333333333333,0.6682334508421466,0.6721504112808461,0.8695652173913043,0.48648648648648646,0.6486486486486487,4,19,15,0,4,4,1.0,3.0,0.5155138117169115,0.12299771821045963,0.5632334508421466
126,seed126_quad2_scenario3,quad2,confidence_hold_055,60,0.43333333333333335,0.37356321839080464,0.3482758620689656,0.6206896551724139,0.0,0.5,4,6,2,0,4,2,0.5,7.5,0.5155138117169115,0.12299771821045963,0.2885632183908047
126,seed126_quad2_scenario3,quad2,confidence_hold_065,60,0.45,0.35883340968086735,0.3441136051305543,0.6440677966101694,0.0,0.43243243243243246,4,2,0,2,4,2,0.5,8.25,0.5155138117169115,0.12299771821045963,0.21633340968086734
126,seed126_quad2_scenario3,quad2,confirm2_conf050_override075,60,0.45,0.3763054271528848,0.35459681561376477,0.6440677966101694,0.0,0.4848484848484849,4,5,1,0,4,2,0.5,7.75,0.5155138117169115,0.12299771821045963,0.29380542715288477
126,seed126_quad2_scenario3,quad2,confirm2_conf060_override080,60,0.4,0.1904761904761905,0.2285714285714286,0.5714285714285715,0.0,0.0,4,0,0,4,4,1,0.25,9.0,0.5155138117169115,0.12299771821045963,-0.0195238095238095
126,seed126_quad2_scenario3,quad2,confirm3_conf050_override080,60,0.4666666666666667,0.38383838383838387,0.36363636363636365,0.6666666666666667,0.0,0.4848484848484849,4,3,0,1,4,2,0.5,8.0,0.5155138117169115,0.12299771821045963,0.2738383838383839
126,seed126_quad2_scenario3,quad2,vote3_confirm2_conf050,60,0.43333333333333335,0.3685127133402996,0.34524555903866255,0.6206896551724139,0.0,0.4848484848484849,4,5,1,0,4,2,0.5,8.0,0.5155138117169115,0.12299771821045963,0.2835127133402996
126,seed126_quad2_scenario3,quad2,vote3_confirm2_conf060,60,0.4,0.1904761904761905,0.2285714285714286,0.5714285714285715,0.0,0.0,4,0,0,4,4,1,0.25,9.0,0.5155138117169115,0.12299771821045963,-0.0195238095238095
126,seed126_quad2_scenario3,quad2,movement_priority_confirm,60,0.4666666666666667,0.3703703703703704,0.3555555555555555,0.6666666666666667,0.0,0.4444444444444444,4,2,0,2,4,2,0.5,8.0,0.5155138117169115,0.12299771821045963,0.2303703703703704
